fl_result_category,tubes_n,cases_n,with_ref_or_corresp_n,agree_n,agree_pct,agree_pct_status,disagree_n,disagree_pct,disagree_pct_status,ref_cor_pos_n,incl_gt_pos_pct,incl_gt_pos_pct_status,ref_cor_neg_n,incl_gt_neg_pct,incl_gt_neg_pct_status,source_sheet,source_anchor,agree_pct_formula,disagree_pct_formula,incl_gt_pos_pct_formula,incl_gt_neg_pct_formula,sites_included_n
Positive,884,87,120,119,0.9916666666666667,ok,1,0.008333333333333333,ok,,,,,,,AGGREGATE,,agree_n / with_ref_or_corresp_n,disagree_n / with_ref_or_corresp_n,,,8
Inconclusive,17,16,7,,,,,,,4,0.5714285714285714,ok,2,0.2857142857142857,ok,AGGREGATE,,,,ref_cor_pos_n / with_ref_or_corresp_n,ref_cor_neg_n / with_ref_or_corresp_n,8
